time,Output,Temperature
2022-09-13 04:57:18+00,1775,309.34
2022-09-13 04:57:20+00,1775,309.315
2022-09-13 04:57:22+00,1775,309.325
2022-09-13 04:57:24+00,1775,309.33
2022-09-13 04:57:26+00,1775,309.31
2022-09-13 04:57:28+00,1775,309.32
2022-09-13 04:57:30+00,1775,309.32
2022-09-13 04:57:32+00,1775,309.32
2022-09-13 04:57:34+00,1775,309.315
2022-09-13 04:57:36+00,1775,309.32
2022-09-13 04:57:38+00,1775,309.325
2022-09-13 04:57:40+00,1775,309.32
2022-09-13 04:57:42+00,1775,309.315
2022-09-13 04:57:44+00,1775,309.32
2022-09-13 04:57:46+00,1775,309.31
2022-09-13 04:57:48+00,1775,309.31
2022-09-13 04:57:50+00,1775,309.31
2022-09-13 04:57:52+00,1775,309.315
2022-09-13 04:57:54+00,1775,309.31
2022-09-13 04:57:56+00,1775,309.315
2022-09-13 04:57:58+00,1775,309.31
2022-09-13 04:58:00+00,1775,309.31
2022-09-13 04:58:02+00,1775,309.315
2022-09-13 04:58:04+00,1775,309.32
2022-09-13 04:58:06+00,1775,309.31
2022-09-13 04:58:08+00,1775,309.31
2022-09-13 04:58:10+00,1775,309.31
2022-09-13 04:58:12+00,1775,309.315
2022-09-13 04:58:14+00,1775,309.305
2022-09-13 04:58:16+00,1775,309.31
2022-09-13 04:58:18+00,1775,309.305
2022-09-13 04:58:20+00,1775,309.305
2022-09-13 04:58:22+00,1775,309.31
2022-09-13 04:58:24+00,1775,309.32
2022-09-13 04:58:26+00,1775,309.31
2022-09-13 04:58:28+00,1775,309.31
2022-09-13 04:58:30+00,1775,309.315
2022-09-13 04:58:32+00,1775,309.305
2022-09-13 04:58:34+00,1775,309.31
2022-09-13 04:58:36+00,1775,309.315
2022-09-13 04:58:38+00,1775,309.305
2022-09-13 04:58:40+00,1775,309.31
2022-09-13 04:58:42+00,1775,309.3
2022-09-13 04:58:44+00,1775,309.31
2022-09-13 04:58:46+00,1775,309.3
2022-09-13 04:58:48+00,1775,309.3
2022-09-13 04:58:50+00,1775,309.305
2022-09-13 04:58:52+00,1775,309.305
2022-09-13 04:58:54+00,1775,309.305
2022-09-13 04:58:56+00,1775,309.3
2022-09-13 04:58:58+00,1775,309.3
2022-09-13 04:59:00+00,1775,309.3
2022-09-13 04:59:02+00,1775,309.3
2022-09-13 04:59:04+00,1775,309.3
2022-09-13 04:59:06+00,1775,309.295
2022-09-13 04:59:08+00,1775,309.31
2022-09-13 04:59:10+00,1775,309.285
2022-09-13 04:59:12+00,1775,309.29
2022-09-13 04:59:14+00,1775,309.3
2022-09-13 04:59:16+00,1775,309.295
2022-09-13 04:59:18+00,1775,309.295
2022-09-13 04:59:20+00,1775,309.3
2022-09-13 04:59:22+00,1775,309.295
2022-09-13 04:59:24+00,1775,309.29
2022-09-13 04:59:26+00,1775,309.295
2022-09-13 04:59:28+00,1775,309.295
2022-09-13 04:59:30+00,1775,309.29
2022-09-13 04:59:32+00,1775,309.295
2022-09-13 04:59:34+00,1775,309.295
2022-09-13 04:59:36+00,1775,309.29
2022-09-13 04:59:38+00,1775,309.28
2022-09-13 04:59:40+00,1775,309.29
2022-09-13 04:59:42+00,1775,309.295
2022-09-13 04:59:44+00,1775,309.29
2022-09-13 04:59:46+00,1775,309.29
2022-09-13 04:59:48+00,1775,309.29
2022-09-13 04:59:50+00,1775,309.285
2022-09-13 04:59:52+00,1775,309.285
2022-09-13 04:59:54+00,1775,309.285
2022-09-13 04:59:56+00,1775,309.285
2022-09-13 04:59:58+00,1775,309.29
2022-09-13 05:00:00+00,1775,309.285
2022-09-13 05:00:02+00,1775,309.295
2022-09-13 05:00:04+00,1775,309.285
2022-09-13 05:00:06+00,1775,309.29
2022-09-13 05:00:08+00,1775,309.29
2022-09-13 05:00:10+00,1775,309.285
2022-09-13 05:00:12+00,1775,309.28
2022-09-13 05:00:14+00,1775,309.29
2022-09-13 05:00:16+00,1775,309.28
2022-09-13 05:00:18+00,1775,309.28
2022-09-13 05:00:20+00,1775,309.295
2022-09-13 05:00:22+00,1775,309.285
2022-09-13 05:00:24+00,1775,309.285
2022-09-13 05:00:26+00,1775,309.285
2022-09-13 05:00:28+00,1775,309.28
2022-09-13 05:00:30+00,1775,309.285
2022-09-13 05:00:32+00,1775,309.29
2022-09-13 05:00:34+00,1775,309.27
2022-09-13 05:00:36+00,1775,309.285
2022-09-13 05:00:38+00,1775,309.275
2022-09-13 05:00:40+00,1775,309.275
2022-09-13 05:00:42+00,1775,309.275
2022-09-13 05:00:44+00,1775,309.28
2022-09-13 05:00:46+00,1775,309.28
2022-09-13 05:00:48+00,1775,309.275
2022-09-13 05:00:50+00,1775,309.28
2022-09-13 05:00:52+00,1775,309.28
2022-09-13 05:00:54+00,1775,309.285
2022-09-13 05:00:56+00,1775,309.28
2022-09-13 05:00:58+00,1775,309.28
2022-09-13 05:01:00+00,1775,309.28
2022-09-13 05:01:02+00,1775,309.28
2022-09-13 05:01:04+00,1775,309.27
2022-09-13 05:01:06+00,1775,309.27
2022-09-13 05:01:08+00,1775,309.265
2022-09-13 05:01:10+00,1775,309.27
2022-09-13 05:01:12+00,1775,309.26
2022-09-13 05:01:14+00,1775,309.27
2022-09-13 05:01:16+00,1775,309.27
2022-09-13 05:01:18+00,1775,309.27
2022-09-13 05:01:20+00,1775,309.27
2022-09-13 05:01:22+00,1775,309.275
2022-09-13 05:01:24+00,1775,309.27
2022-09-13 05:01:26+00,1775,309.265
2022-09-13 05:01:28+00,1775,309.27
2022-09-13 05:01:30+00,1775,309.27
2022-09-13 05:01:32+00,1775,309.265
2022-09-13 05:01:34+00,1775,309.27
2022-09-13 05:01:36+00,1775,309.265
2022-09-13 05:01:38+00,1775,309.27
2022-09-13 05:01:40+00,1775,309.27
2022-09-13 05:01:42+00,1775,309.265
2022-09-13 05:01:44+00,1775,309.27
2022-09-13 05:01:46+00,1775,309.265
2022-09-13 05:01:48+00,1775,309.265
2022-09-13 05:01:50+00,1775,309.26
2022-09-13 05:01:52+00,1775,309.26
2022-09-13 05:01:54+00,1775,309.27
2022-09-13 05:01:56+00,1775,309.265
2022-09-13 05:01:58+00,1775,309.255
2022-09-13 05:02:00+00,1775,309.26
2022-09-13 05:02:02+00,1775,309.26
2022-09-13 05:02:04+00,1775,309.26
2022-09-13 05:02:06+00,1775,309.265
2022-09-13 05:02:08+00,1775,309.25
2022-09-13 05:02:10+00,1775,309.255
2022-09-13 05:02:12+00,1775,309.265
2022-09-13 05:02:14+00,1775,309.255
2022-09-13 05:02:16+00,1775,309.26
2022-09-13 05:02:18+00,1775,309.255
2022-09-13 05:02:20+00,1775,309.255
2022-09-13 05:02:22+00,1775,309.26
2022-09-13 05:02:24+00,1775,309.26
2022-09-13 05:02:26+00,1775,309.26
2022-09-13 05:02:28+00,1775,309.255
2022-09-13 05:02:30+00,1775,309.26
2022-09-13 05:02:32+00,1775,309.255
2022-09-13 05:02:34+00,1775,309.26
2022-09-13 05:02:36+00,1775,309.265
2022-09-13 05:02:38+00,1775,309.255
2022-09-13 05:02:40+00,1775,309.255
2022-09-13 05:02:42+00,1775,309.265
2022-09-13 05:02:44+00,1775,309.26
2022-09-13 05:02:46+00,1775,309.26
2022-09-13 05:02:48+00,1775,309.26
2022-09-13 05:02:50+00,1775,309.26
2022-09-13 05:02:52+00,1775,309.255
2022-09-13 05:02:54+00,1775,309.26
2022-09-13 05:02:56+00,1775,309.255
2022-09-13 05:02:58+00,1775,309.255
2022-09-13 05:03:00+00,1775,309.25
2022-09-13 05:03:02+00,1775,309.255
2022-09-13 05:03:04+00,1775,309.26
2022-09-13 05:03:06+00,1775,309.245
2022-09-13 05:03:08+00,1775,309.25
2022-09-13 05:03:10+00,1775,309.25
2022-09-13 05:03:12+00,1775,309.25
2022-09-13 05:03:14+00,1775,309.25
2022-09-13 05:03:16+00,1775,309.245
2022-09-13 05:03:18+00,1775,309.25
2022-09-13 05:03:20+00,1775,309.255
2022-09-13 05:03:22+00,1775,309.25
2022-09-13 05:03:24+00,1775,309.25
2022-09-13 05:03:26+00,1775,309.255
2022-09-13 05:03:28+00,1775,309.25
2022-09-13 05:03:30+00,1775,309.245
2022-09-13 05:03:32+00,1775,309.255
2022-09-13 05:03:34+00,1775,309.245
2022-09-13 05:03:36+00,1775,309.26
2022-09-13 05:03:38+00,1775,309.245
2022-09-13 05:03:40+00,1775,309.24
2022-09-13 05:03:42+00,1775,309.245
2022-09-13 05:03:44+00,1775,309.245
2022-09-13 05:03:46+00,1775,309.245
2022-09-13 05:03:48+00,1775,309.245
2022-09-13 05:03:50+00,1775,309.25
2022-09-13 05:03:52+00,1775,309.245
2022-09-13 05:03:54+00,1775,309.25
2022-09-13 05:03:56+00,1775,309.24
2022-09-13 05:03:58+00,1775,309.25
2022-09-13 05:04:00+00,1775,309.25
2022-09-13 05:04:02+00,1775,309.24
2022-09-13 05:04:04+00,1775,309.245
2022-09-13 05:04:06+00,1775,309.24
2022-09-13 05:04:08+00,1775,309.245
2022-09-13 05:04:10+00,1775,309.245
2022-09-13 05:04:12+00,1775,309.245
2022-09-13 05:04:14+00,1775,309.235
2022-09-13 05:04:16+00,1775,309.24
2022-09-13 05:04:18+00,1775,309.24
2022-09-13 05:04:20+00,1775,309.24
2022-09-13 05:04:22+00,1775,309.23
2022-09-13 05:04:24+00,1775,309.24
2022-09-13 05:04:26+00,1775,309.24
2022-09-13 05:04:28+00,1775,309.235
2022-09-13 05:04:30+00,1775,309.23
2022-09-13 05:04:32+00,1775,309.23
2022-09-13 05:04:34+00,1775,309.24
2022-09-13 05:04:36+00,1775,309.25
2022-09-13 05:04:38+00,1775,309.24
2022-09-13 05:04:40+00,1775,309.24
2022-09-13 05:04:42+00,1775,309.235
2022-09-13 05:04:44+00,1775,309.235
2022-09-13 05:04:46+00,1775,309.24
2022-09-13 05:04:48+00,1775,309.23
2022-09-13 05:04:50+00,1775,309.235
2022-09-13 05:04:52+00,1775,309.23
2022-09-13 05:04:54+00,1775,309.22
2022-09-13 05:04:56+00,1775,309.235
2022-09-13 05:04:58+00,1775,309.23
2022-09-13 05:05:00+00,1775,309.23
2022-09-13 05:05:02+00,1775,309.235
2022-09-13 05:05:04+00,1775,309.225
2022-09-13 05:05:06+00,1775,309.235
2022-09-13 05:05:08+00,1775,309.225
2022-09-13 05:05:10+00,1775,309.235
2022-09-13 05:05:12+00,1775,309.23
2022-09-13 05:05:14+00,1775,309.225
2022-09-13 05:05:16+00,1775,309.22
2022-09-13 05:05:18+00,1775,309.22
2022-09-13 05:05:20+00,1775,309.23
2022-09-13 05:05:22+00,1775,309.235
2022-09-13 05:05:24+00,1775,309.23
2022-09-13 05:05:26+00,1775,309.22
2022-09-13 05:05:28+00,1775,309.22
2022-09-13 05:05:30+00,1775,309.22
2022-09-13 05:05:32+00,1775,309.22
2022-09-13 05:05:34+00,1775,309.22
2022-09-13 05:05:36+00,1775,309.22
2022-09-13 05:05:38+00,1775,309.225
2022-09-13 05:05:40+00,1775,309.22
2022-09-13 05:05:42+00,1775,309.225
2022-09-13 05:05:44+00,1775,309.22
2022-09-13 05:05:46+00,1775,309.225
2022-09-13 05:05:48+00,1775,309.225
2022-09-13 05:05:50+00,1775,309.22
2022-09-13 05:05:52+00,1775,309.22
2022-09-13 05:05:54+00,1775,309.23
2022-09-13 05:05:56+00,1775,309.225
2022-09-13 05:05:58+00,1775,309.23
2022-09-13 05:06:00+00,1775,309.225
2022-09-13 05:06:02+00,1775,309.22
2022-09-13 05:06:04+00,1775,309.22
2022-09-13 05:06:06+00,1775,309.22
2022-09-13 05:06:08+00,1775,309.22
2022-09-13 05:06:10+00,1775,309.225
2022-09-13 05:06:12+00,1775,309.22
2022-09-13 05:06:14+00,1775,309.225
2022-09-13 05:06:16+00,1775,309.225
2022-09-13 05:06:18+00,1775,309.22
2022-09-13 05:06:20+00,1775,309.215
2022-09-13 05:06:22+00,1775,309.225
2022-09-13 05:06:24+00,1775,309.215
2022-09-13 05:06:26+00,1775,309.22
2022-09-13 05:06:28+00,1775,309.22
2022-09-13 05:06:30+00,1775,309.23
2022-09-13 05:06:32+00,1775,309.215
2022-09-13 05:06:34+00,1775,309.22
2022-09-13 05:06:36+00,1775,309.22
2022-09-13 05:06:38+00,1775,309.215
2022-09-13 05:06:40+00,1775,309.22
2022-09-13 05:06:42+00,1775,309.21
2022-09-13 05:06:44+00,1775,309.215
2022-09-13 05:06:46+00,1775,309.22
2022-09-13 05:06:48+00,1775,309.22
2022-09-13 05:06:50+00,1775,309.215
2022-09-13 05:06:52+00,1775,309.215
2022-09-13 05:06:54+00,1775,309.22
2022-09-13 05:06:56+00,1775,309.215
2022-09-13 05:06:58+00,1775,309.22
2022-09-13 05:07:00+00,1775,309.215
2022-09-13 05:07:02+00,1775,309.215
2022-09-13 05:07:04+00,1775,309.21
2022-09-13 05:07:06+00,1775,309.22
2022-09-13 05:07:08+00,1775,309.215
2022-09-13 05:07:10+00,1775,309.205
2022-09-13 05:07:12+00,1775,309.21
2022-09-13 05:07:14+00,1775,309.205
2022-09-13 05:07:16+00,1775,309.21
2022-09-13 05:07:18+00,1775,309.21
2022-09-13 05:07:20+00,1775,309.21
2022-09-13 05:07:22+00,1775,309.21
2022-09-13 05:07:24+00,1775,309.215
2022-09-13 05:07:26+00,1775,309.205
2022-09-13 05:07:28+00,1775,309.205
2022-09-13 05:07:30+00,1775,309.21
2022-09-13 05:07:32+00,1775,309.205
2022-09-13 05:07:34+00,1775,309.205
2022-09-13 05:07:36+00,1775,309.215
2022-09-13 05:07:38+00,1775,309.205
2022-09-13 05:07:40+00,1775,309.21
2022-09-13 05:07:42+00,1775,309.2
2022-09-13 05:07:44+00,1775,309.215
2022-09-13 05:07:46+00,1775,309.21
2022-09-13 05:07:48+00,1775,309.19
2022-09-13 05:07:50+00,1775,309.21
2022-09-13 05:07:52+00,1775,309.205
2022-09-13 05:07:54+00,1775,309.2
2022-09-13 05:07:56+00,1775,309.205
2022-09-13 05:07:58+00,1775,309.21
2022-09-13 05:08:00+00,1775,309.2
2022-09-13 05:08:02+00,1775,309.19
2022-09-13 05:08:04+00,1775,309.195
2022-09-13 05:08:06+00,1775,309.19
2022-09-13 05:08:08+00,1775,309.19
2022-09-13 05:08:10+00,1775,309.195
2022-09-13 05:08:12+00,1775,309.21
2022-09-13 05:08:14+00,1775,309.205
2022-09-13 05:08:16+00,1775,309.2
2022-09-13 05:08:18+00,1775,309.2
2022-09-13 05:08:20+00,1775,309.205
2022-09-13 05:08:22+00,1775,309.2
2022-09-13 05:08:24+00,1775,309.2
2022-09-13 05:08:26+00,1775,309.21
2022-09-13 05:08:28+00,1775,309.205
2022-09-13 05:08:30+00,1775,309.2
2022-09-13 05:08:32+00,1775,309.19
2022-09-13 05:08:34+00,1775,309.205
2022-09-13 05:08:36+00,1775,309.2
2022-09-13 05:08:38+00,1775,309.19
2022-09-13 05:08:40+00,1775,309.21
2022-09-13 05:08:42+00,1775,309.205
2022-09-13 05:08:44+00,1775,309.2
2022-09-13 05:08:46+00,1775,309.2
2022-09-13 05:08:48+00,1775,309.2
2022-09-13 05:08:50+00,1775,309.19
2022-09-13 05:08:52+00,1775,309.195
2022-09-13 05:08:54+00,1775,309.2
2022-09-13 05:08:56+00,1775,309.19
2022-09-13 05:08:58+00,1775,309.205
2022-09-13 05:09:00+00,1775,309.205
2022-09-13 05:09:02+00,1775,309.2
2022-09-13 05:09:04+00,1775,309.19
2022-09-13 05:09:06+00,1775,309.19
2022-09-13 05:09:08+00,1775,309.19
2022-09-13 05:09:10+00,1775,309.18
2022-09-13 05:09:12+00,1775,309.19
2022-09-13 05:09:14+00,1775,309.18
2022-09-13 05:09:16+00,1775,309.175
2022-09-13 05:09:18+00,1775,309.19
2022-09-13 05:09:20+00,1775,309.2
2022-09-13 05:09:22+00,1775,309.2
2022-09-13 05:09:24+00,1775,309.18
2022-09-13 05:09:26+00,1775,309.18
2022-09-13 05:09:28+00,1775,309.175
2022-09-13 05:09:30+00,1775,309.18
2022-09-13 05:09:32+00,1775,309.18
2022-09-13 05:09:34+00,1775,309.175
2022-09-13 05:09:36+00,1775,309.175
2022-09-13 05:09:38+00,1775,309.17
2022-09-13 05:09:40+00,1775,309.175
2022-09-13 05:09:42+00,1775,309.175
2022-09-13 05:09:44+00,1775,309.175
2022-09-13 05:09:46+00,1775,309.165
2022-09-13 05:09:48+00,1775,309.17
2022-09-13 05:09:50+00,1775,309.175
2022-09-13 05:09:52+00,1775,309.17
2022-09-13 05:09:54+00,1775,309.17
2022-09-13 05:09:56+00,1775,309.175
2022-09-13 05:09:58+00,1775,309.165
2022-09-13 05:10:00+00,1775,309.17
2022-09-13 05:10:02+00,1775,309.16
2022-09-13 05:10:04+00,1775,309.165
2022-09-13 05:10:06+00,1775,309.175
2022-09-13 05:10:08+00,1775,309.165
2022-09-13 05:10:10+00,1775,309.17
2022-09-13 05:10:12+00,1775,309.17
2022-09-13 05:10:14+00,1775,309.17
2022-09-13 05:10:16+00,1775,309.165
2022-09-13 05:10:18+00,1775,309.175
2022-09-13 05:10:20+00,1775,309.165
2022-09-13 05:10:22+00,1775,309.175
2022-09-13 05:10:24+00,1775,309.17
2022-09-13 05:10:26+00,1775,309.165
2022-09-13 05:10:28+00,1775,309.17
2022-09-13 05:10:30+00,1775,309.17
2022-09-13 05:10:32+00,1775,309.175
2022-09-13 05:10:34+00,1775,309.165
2022-09-13 05:10:36+00,1775,309.165
2022-09-13 05:10:38+00,1775,309.16
2022-09-13 05:10:40+00,1775,309.16
2022-09-13 05:10:42+00,1775,309.155
2022-09-13 05:10:44+00,1775,309.165
2022-09-13 05:10:46+00,1775,309.17
2022-09-13 05:10:48+00,1775,309.17
2022-09-13 05:10:50+00,1775,309.165
2022-09-13 05:10:52+00,1775,309.16
2022-09-13 05:10:54+00,1775,309.155
2022-09-13 05:10:56+00,1775,309.16
2022-09-13 05:10:58+00,1775,309.155
2022-09-13 05:11:00+00,1775,309.155
2022-09-13 05:11:02+00,1775,309.165
2022-09-13 05:11:04+00,1775,309.16
2022-09-13 05:11:06+00,1775,309.16
2022-09-13 05:11:08+00,1775,309.16
2022-09-13 05:11:10+00,1775,309.155
2022-09-13 05:11:12+00,1775,309.165
2022-09-13 05:11:14+00,1775,309.16
2022-09-13 05:11:16+00,1775,309.155
2022-09-13 05:11:18+00,1775,309.15
2022-09-13 05:11:20+00,1775,309.165
2022-09-13 05:11:22+00,1775,309.15
2022-09-13 05:11:24+00,1775,309.16
2022-09-13 05:11:26+00,1775,309.15
2022-09-13 05:11:28+00,1775,309.16
2022-09-13 05:11:30+00,1775,309.15
2022-09-13 05:11:32+00,1775,309.155
2022-09-13 05:11:34+00,1775,309.155
2022-09-13 05:11:36+00,1775,309.16
2022-09-13 05:11:38+00,1775,309.15
2022-09-13 05:11:40+00,1775,309.15
2022-09-13 05:11:42+00,1775,309.15
2022-09-13 05:11:44+00,1775,309.16
2022-09-13 05:11:46+00,1775,309.15
2022-09-13 05:11:48+00,1775,309.15
2022-09-13 05:11:50+00,1775,309.15
2022-09-13 05:11:52+00,1775,309.15
2022-09-13 05:11:54+00,1775,309.15
2022-09-13 05:11:56+00,1775,309.155
2022-09-13 05:11:58+00,1775,309.155
2022-09-13 05:12:00+00,1775,309.15
2022-09-13 05:12:02+00,1775,309.15
2022-09-13 05:12:04+00,1775,309.155
2022-09-13 05:12:06+00,1775,309.15
2022-09-13 05:12:08+00,1775,309.15
2022-09-13 05:12:10+00,1775,309.15
2022-09-13 05:12:12+00,1775,309.155
2022-09-13 05:12:14+00,1775,309.15
2022-09-13 05:12:16+00,1775,309.145
2022-09-13 05:12:18+00,1775,309.15
2022-09-13 05:12:20+00,1775,309.16
2022-09-13 05:12:22+00,1775,309.145
2022-09-13 05:12:24+00,1775,309.145
2022-09-13 05:12:26+00,1775,309.155
2022-09-13 05:12:28+00,1775,309.14
2022-09-13 05:12:30+00,1775,309.15
2022-09-13 05:12:32+00,1775,309.14
2022-09-13 05:12:34+00,1775,309.15
2022-09-13 05:12:36+00,1775,309.15
2022-09-13 05:12:38+00,1775,309.145
2022-09-13 05:12:40+00,1775,309.14
2022-09-13 05:12:42+00,1775,309.15
2022-09-13 05:12:44+00,1775,309.155
2022-09-13 05:12:46+00,1775,309.135
2022-09-13 05:12:48+00,1775,309.14
2022-09-13 05:12:50+00,1775,309.145
2022-09-13 05:12:52+00,1775,309.155
2022-09-13 05:12:54+00,1775,309.135
2022-09-13 05:12:56+00,1775,309.14
2022-09-13 05:12:58+00,1775,309.14
2022-09-13 05:13:00+00,1775,309.14
2022-09-13 05:13:02+00,1775,309.145
2022-09-13 05:13:04+00,1775,309.135
2022-09-13 05:13:06+00,1775,309.14
2022-09-13 05:13:08+00,1775,309.135
2022-09-13 05:13:10+00,1775,309.135
2022-09-13 05:13:12+00,1775,309.135
2022-09-13 05:13:14+00,1775,309.14
2022-09-13 05:13:16+00,1775,309.14
2022-09-13 05:13:18+00,1775,309.135
2022-09-13 05:13:20+00,1775,309.13
2022-09-13 05:13:22+00,1775,309.14
2022-09-13 05:13:24+00,1775,309.13
2022-09-13 05:13:26+00,1775,309.135
2022-09-13 05:13:28+00,1775,309.135
2022-09-13 05:13:30+00,1775,309.135
2022-09-13 05:13:32+00,1775,309.135
2022-09-13 05:13:34+00,1775,309.13
2022-09-13 05:13:36+00,1775,309.135
2022-09-13 05:13:38+00,1775,309.13
2022-09-13 05:13:40+00,1775,309.13
2022-09-13 05:13:42+00,1775,309.135
2022-09-13 05:13:44+00,1775,309.14
2022-09-13 05:13:46+00,1775,309.13
2022-09-13 05:13:48+00,1775,309.13
2022-09-13 05:13:50+00,1775,309.135
2022-09-13 05:13:52+00,1775,309.135
2022-09-13 05:13:54+00,1775,309.13
2022-09-13 05:13:56+00,1775,309.13
2022-09-13 05:13:58+00,1775,309.135
2022-09-13 05:14:00+00,1775,309.14
2022-09-13 05:14:02+00,1775,309.13
2022-09-13 05:14:04+00,1775,309.13
2022-09-13 05:14:06+00,1775,309.125
2022-09-13 05:14:08+00,1775,309.13
2022-09-13 05:14:10+00,1775,309.135
2022-09-13 05:14:12+00,1775,309.13
2022-09-13 05:14:14+00,1775,309.135
2022-09-13 05:14:16+00,1775,309.13
2022-09-13 05:14:18+00,1775,309.13
2022-09-13 05:14:20+00,1775,309.13
2022-09-13 05:14:22+00,1775,309.135
2022-09-13 05:14:24+00,1775,309.13
2022-09-13 05:14:26+00,1775,309.125
2022-09-13 05:14:28+00,1775,309.13
2022-09-13 05:14:30+00,1775,309.13
2022-09-13 05:14:32+00,1775,309.13
2022-09-13 05:14:34+00,1775,309.125
2022-09-13 05:14:36+00,1775,309.135
2022-09-13 05:14:38+00,1775,309.13
2022-09-13 05:14:40+00,1775,309.13
2022-09-13 05:14:42+00,1775,309.125
2022-09-13 05:14:44+00,1775,309.125
2022-09-13 05:14:46+00,1775,309.125
2022-09-13 05:14:48+00,1775,309.13
2022-09-13 05:14:50+00,1775,309.12
2022-09-13 05:14:52+00,1775,309.135
2022-09-13 05:14:54+00,1775,309.125
2022-09-13 05:14:56+00,1775,309.125
2022-09-13 05:14:58+00,1775,309.125
2022-09-13 05:15:00+00,1775,309.13
2022-09-13 05:15:02+00,1775,309.125
2022-09-13 05:15:04+00,1775,309.125
2022-09-13 05:15:06+00,1775,309.12
2022-09-13 05:15:08+00,1775,309.12
2022-09-13 05:15:10+00,1775,309.13
2022-09-13 05:15:12+00,1775,309.115
2022-09-13 05:15:14+00,1775,309.115
2022-09-13 05:15:16+00,1775,309.125
2022-09-13 05:15:18+00,1775,309.12
2022-09-13 05:15:20+00,1775,309.12
2022-09-13 05:15:22+00,1775,309.12
2022-09-13 05:15:24+00,1775,309.125
2022-09-13 05:15:26+00,1775,309.13
2022-09-13 05:15:28+00,1775,309.12
2022-09-13 05:15:30+00,1775,309.13
2022-09-13 05:15:32+00,1775,309.115
2022-09-13 05:15:34+00,1775,309.115
2022-09-13 05:15:36+00,1775,309.125
2022-09-13 05:15:38+00,1775,309.12
2022-09-13 05:15:40+00,1775,309.125
2022-09-13 05:15:42+00,1775,309.12
2022-09-13 05:15:44+00,1775,309.12
2022-09-13 05:15:46+00,1775,309.12
2022-09-13 05:15:48+00,1775,309.115
2022-09-13 05:15:50+00,1775,309.12
2022-09-13 05:15:52+00,1775,309.115
2022-09-13 05:15:54+00,1775,309.12
2022-09-13 05:15:56+00,1775,309.115
2022-09-13 05:15:58+00,1775,309.115
2022-09-13 05:16:00+00,1775,309.12
2022-09-13 05:16:02+00,1775,309.12
2022-09-13 05:16:04+00,1775,309.12
2022-09-13 05:16:06+00,1775,309.115
2022-09-13 05:16:08+00,1775,309.12
2022-09-13 05:16:10+00,1775,309.11
2022-09-13 05:16:12+00,1775,309.12
2022-09-13 05:16:14+00,1775,309.115
2022-09-13 05:16:16+00,1775,309.12
2022-09-13 05:16:18+00,1775,309.11
2022-09-13 05:16:20+00,1775,309.125
2022-09-13 05:16:22+00,1775,309.12
2022-09-13 05:16:24+00,1775,309.12
2022-09-13 05:16:26+00,1775,309.12
2022-09-13 05:16:28+00,1775,309.11
2022-09-13 05:16:30+00,1775,309.115
2022-09-13 05:16:32+00,1775,309.115
2022-09-13 05:16:34+00,1775,309.115
2022-09-13 05:16:36+00,1775,309.11
2022-09-13 05:16:38+00,1775,309.11
2022-09-13 05:16:40+00,1775,309.11
2022-09-13 05:16:42+00,1775,309.11
2022-09-13 05:16:44+00,1775,309.115
2022-09-13 05:16:46+00,1775,309.115
2022-09-13 05:16:48+00,1775,309.115
2022-09-13 05:16:50+00,1775,309.115
2022-09-13 05:16:52+00,1775,309.11
2022-09-13 05:16:54+00,1775,309.11
2022-09-13 05:16:56+00,1775,309.11
2022-09-13 05:16:58+00,1775,309.1
2022-09-13 05:17:00+00,1775,309.115
2022-09-13 05:17:02+00,1775,309.105
2022-09-13 05:17:04+00,1775,309.11
2022-09-13 05:17:06+00,1775,309.11
2022-09-13 05:17:08+00,1775,309.11
2022-09-13 05:17:10+00,1775,309.105
2022-09-13 05:17:12+00,1775,309.105
2022-09-13 05:17:14+00,1775,309.105
2022-09-13 05:17:16+00,1775,309.11
2022-09-13 05:17:18+00,1775,309.1
2022-09-13 05:17:20+00,1775,309.11
2022-09-13 05:17:22+00,1775,309.11
2022-09-13 05:17:24+00,1775,309.11
2022-09-13 05:17:26+00,1775,309.11
2022-09-13 05:17:28+00,1775,309.105
2022-09-13 05:17:30+00,1775,309.1
2022-09-13 05:17:32+00,1775,309.105
2022-09-13 05:17:34+00,1775,309.105
2022-09-13 05:17:36+00,1775,309.1
2022-09-13 05:17:38+00,1775,309.1
2022-09-13 05:17:40+00,1775,309.105
2022-09-13 05:17:42+00,1775,309.1
2022-09-13 05:17:44+00,1775,309.105
2022-09-13 05:17:46+00,1775,309.1
2022-09-13 05:17:48+00,1775,309.105
2022-09-13 05:17:50+00,1775,309.1
2022-09-13 05:17:52+00,1775,309.095
2022-09-13 05:17:54+00,1775,309.1
2022-09-13 05:17:56+00,1775,309.1
2022-09-13 05:17:58+00,1775,309.095
2022-09-13 05:18:00+00,1775,309.1
2022-09-13 05:18:02+00,1775,309.09
2022-09-13 05:18:04+00,1775,309.095
2022-09-13 05:18:06+00,1775,309.1
2022-09-13 05:18:08+00,1775,309.095
2022-09-13 05:18:10+00,1775,309.09
2022-09-13 05:18:12+00,1775,309.095
2022-09-13 05:18:14+00,1775,309.09
2022-09-13 05:18:16+00,1775,309.095
2022-09-13 05:18:18+00,1775,309.1
2022-09-13 05:18:20+00,1775,309.095
2022-09-13 05:18:22+00,1775,309.09
2022-09-13 05:18:24+00,1775,309.095
2022-09-13 05:18:26+00,1775,309.09
